gold_std_association_type	pubmed_id	num_sentence	subject_text	subject_start	subject_end	subject_type	object_text	object_start	object_end	object_type	original_sentence	formatted_sentence	form_subject	form_object
positive	18371953	11	glioma	178	184	disease	indomethacin-loaded nanocapsules	93	125	drug	Another important finding was that the cytotoxic effect induced by 25 microM or 50 microM of indomethacin-loaded nanocapsules or indomethacin ethyl ester-loaded nanocapsules, in glioma cells was not observed in the organotypic cultures, indicating selective cytotoxicity of those formulations for tumoral cells.	"<div class=""formatted_sentence"">Another important finding was that the cytotoxic effect induced by 25 microM or 50 microM of <span class=""object_text"">indomethacin-loaded nanocapsules</span> or indomethacin ethyl ester-loaded nanocapsules, in <span class=""subject_text"">glioma</span> cells was not observed in the organotypic cultures, indicating selective cytotoxicity of those formulations for tumoral cells.</div>"	"&quot;<span class=""form_subject"">glioma</span>&quot;"	"&quot;<span class=""form_object"">indomethacin-loaded nanocapsules</span>&quot;"
positive	17989313	10	multiple myeloma	107	123	disease	BiRD	0	4	drug	BiRD is an effective regimen with manageable side effects in the treatment of symptomatic, newly diagnosed multiple myeloma.	"<div class=""formatted_sentence""><span class=""object_text"">BiRD</span> is an effective regimen with manageable side effects in the treatment of symptomatic, newly diagnosed <span class=""subject_text"">multiple myeloma</span>.</div>"	"&quot;<span class=""form_subject"">multiple myeloma</span>&quot;"	"&quot;<span class=""form_object"">BiRD</span>&quot;"
false	17340045	0	rheumatoid arthritis	49	69	disease	etanercept	30	40	drug	Development of sarcoidosis in etanercept-treated rheumatoid arthritis patients.	"<div class=""formatted_sentence"">Development of sarcoidosis in <span class=""object_text"">etanercept</span>-treated <span class=""subject_text"">rheumatoid arthritis</span> patients.</div>"	"&quot;<span class=""form_subject"">rheumatoid arthritis</span>&quot;"	"&quot;<span class=""form_object"">etanercept</span>&quot;"
speculative	18452197	1	colitis-associated colorectal cancer	87	123	disease	5-ASA	64	69	drug	The impact of the antiinflammatory agent 5-aminosalicylic acid (5-ASA) on the risk for colitis-associated colorectal cancer remains controversial.	"<div class=""formatted_sentence"">The impact of the antiinflammatory agent 5-aminosalicylic acid (<span class=""object_text"">5-ASA</span>) on the risk for <span class=""subject_text"">colitis-associated colorectal cancer</span> remains controversial.</div>"	"&quot;<span class=""form_subject"">colitis-associated colorectal cancer</span>&quot;"	"&quot;<span class=""form_object"">5-ASA</span>&quot;"
false	17291222	3	chest pain	103	113	disease	SRL	27	30	drug	Two years after initiating SRL, she presented complaints of progressive dyspnoea, nonproductive cough, chest pain and low-grade fever of 1 month duration.	"<div class=""formatted_sentence"">Two years after initiating <span class=""object_text"">SRL</span>, she presented complaints of progressive dyspnoea, nonproductive cough, <span class=""subject_text"">chest pain</span> and low-grade fever of 1 month duration.</div>"	"&quot;<span class=""form_subject"">chest pain</span>&quot;"	"&quot;<span class=""form_object"">SRL</span>&quot;"
speculative	18452197	9	colonic neoplasms	179	196	disease	low-dose 5-ASA	24	38	drug	These data suggest that low-dose 5-ASA may be efficacious in preventing colitis-associated dysplasias and provide strong support for optimizing this therapy for the prevention of colonic neoplasms in patients with ulcerative colitis.	"<div class=""formatted_sentence"">These data suggest that <span class=""object_text"">low-dose 5-ASA</span> may be efficacious in preventing colitis-associated dysplasias and provide strong support for optimizing this therapy for the prevention of <span class=""subject_text"">colonic neoplasms</span> in patients with ulcerative colitis.</div>"	"&quot;<span class=""form_subject"">colonic neoplasms</span>&quot;"	"&quot;<span class=""form_object"">low-dose 5-ASA</span>&quot;"
positive	18713852	12	vomiting	105	113	disease	posaconazole	59	71	drug	The most common adverse effects associated with the use of posaconazole include headache, fever, nausea, vomiting, and diarrhea.	"<div class=""formatted_sentence"">The most common adverse effects associated with the use of <span class=""object_text"">posaconazole</span> include headache, fever, nausea, <span class=""subject_text"">vomiting</span>, and diarrhea.</div>"	"&quot;<span class=""form_subject"">vomiting</span>&quot;"	"&quot;<span class=""form_object"">posaconazole</span>&quot;"
positive	17945482	3	metastatic renal cell carcinoma	106	137	disease	sutent	35	41	drug	In several phase I/II/III studies, sutent was found to be effective as second and first line treatment in metastatic renal cell carcinoma (RCC).	"<div class=""formatted_sentence"">In several phase I/II/III studies, <span class=""object_text"">sutent</span> was found to be effective as second and first line treatment in <span class=""subject_text"">metastatic renal cell carcinoma</span> (RCC).</div>"	"&quot;<span class=""form_subject"">metastatic renal cell carcinoma</span>&quot;"	"&quot;<span class=""form_object"">sutent</span>&quot;"
false	17989313	0	multiple myeloma	173	189	disease	BiRD	0	4	drug	BiRD (Biaxin [clarithromycin]/Revlimid [lenalidomide]/dexamethasone) combination therapy results in high complete- and overall-response rates in treatment-naive symptomatic multiple myeloma.	"<div class=""formatted_sentence""><span class=""object_text"">BiRD</span> (Biaxin [clarithromycin]/Revlimid [lenalidomide]/dexamethasone) combination therapy results in high complete- and overall-response rates in treatment-naive symptomatic <span class=""subject_text"">multiple myeloma</span>.</div>"	"&quot;<span class=""form_subject"">multiple myeloma</span>&quot;"	"&quot;<span class=""form_object"">BiRD</span>&quot;"
positive	19135998	7	anemia	79	85	disease	ribavirin	110	119	drug	Adverse events were similar across treatment groups except for higher rates of anemia in the groups receiving ribavirin.	"<div class=""formatted_sentence"">Adverse events were similar across treatment groups except for higher rates of <span class=""subject_text"">anemia</span> in the groups receiving <span class=""object_text"">ribavirin</span>.</div>"	"&quot;<span class=""form_subject"">anemia</span>&quot;"	"&quot;<span class=""form_object"">ribavirin</span>&quot;"
false	18512713	8	malignancy	42	52	disease	methotrexate	59	71	drug	There was an estimated 50% excess risk of malignancy among methotrexate-exposed RA patients relative to the general population (SIR 1.5, 95% confidence interval [95% CI] 1.2-1.9), with a 3-fold increase in melanoma (SIR 3.0, 95% CI 1.2-6.2), a 5-fold increase in non-Hodgkin's lymphoma (SIR 5.1, 95% CI 2.2-10.0), and an almost 3-fold increase in lung cancer (SIR 2.9, 95% CI 1.6-4.8).	"<div class=""formatted_sentence"">There was an estimated 50% excess risk of <span class=""subject_text"">malignancy</span> among <span class=""object_text"">methotrexate</span>-exposed RA patients relative to the general population (SIR 1.5, 95% confidence interval [95% CI] 1.2-1.9), with a 3-fold increase in melanoma (SIR 3.0, 95% CI 1.2-6.2), a 5-fold increase in non-Hodgkin's lymphoma (SIR 5.1, 95% CI 2.2-10.0), and an almost 3-fold increase in lung cancer (SIR 2.9, 95% CI 1.6-4.8).</div>"	"&quot;<span class=""form_subject"">malignancy</span>&quot;"	"&quot;<span class=""form_object"">methotrexate</span>&quot;"
false	17547473	7	cancer	212	218	disease	amlodipine	54	64	drug	Compared with both diuretics and contemporary agents, amlodipine decreases cardiovascular events to a similar or greater extent without evidence for increased coronary heart disease, gastrointestinal bleeding or cancer.	"<div class=""formatted_sentence"">Compared with both diuretics and contemporary agents, <span class=""object_text"">amlodipine</span> decreases cardiovascular events to a similar or greater extent without evidence for increased coronary heart disease, gastrointestinal bleeding or <span class=""subject_text"">cancer</span>.</div>"	"&quot;<span class=""form_subject"">cancer</span>&quot;"	"&quot;<span class=""form_object"">amlodipine</span>&quot;"
positive	17945482	5	GIST	101	105	disease	Sutent	0	6	drug	Sutent was also effective as second line treatment in patients with gastrointestinal stromal tumors (GIST) with 8% response rate, 70% stable disease and a 20-month median survival.	"<div class=""formatted_sentence""><span class=""object_text"">Sutent</span> was also effective as second line treatment in patients with gastrointestinal stromal tumors (<span class=""subject_text"">GIST</span>) with 8% response rate, 70% stable disease and a 20-month median survival.</div>"	"&quot;<span class=""form_subject"">GIST</span>&quot;"	"&quot;<span class=""form_object"">Sutent</span>&quot;"
positive	18975369	7	gout	186	190	disease	febuxostat	22	32	drug	At all doses studied, febuxostat more effectively lowered and maintained serum urate levels <6.0 mg/dl than did allopurinol (300 or 100 mg) or placebo in subjects with hyperuricemia and gout, including those with mild to moderately impaired renal function.	"<div class=""formatted_sentence"">At all doses studied, <span class=""object_text"">febuxostat</span> more effectively lowered and maintained serum urate levels <6.0 mg/dl than did allopurinol (300 or 100 mg) or placebo in subjects with hyperuricemia and <span class=""subject_text"">gout</span>, including those with mild to moderately impaired renal function.</div>"	"&quot;<span class=""form_subject"">gout</span>&quot;"	"&quot;<span class=""form_object"">febuxostat</span>&quot;"
false	18389682	2	thromboembolism	210	225	disease	anticoagulant	105	118	drug	Dental surgery for these children has historically consisted of decreasing and/or discontinuing the oral anticoagulant and instituting heparin therapy prior to the planned dental procedure, which can result in thromboembolism and increased morbidity and mortality.	"<div class=""formatted_sentence"">Dental surgery for these children has historically consisted of decreasing and/or discontinuing the oral <span class=""object_text"">anticoagulant</span> and instituting heparin therapy prior to the planned dental procedure, which can result in <span class=""subject_text"">thromboembolism</span> and increased morbidity and mortality.</div>"	"&quot;<span class=""form_subject"">thromboembolism</span>&quot;"	"&quot;<span class=""form_object"">anticoagulant</span>&quot;"
positive	18371953	10	glioma	136	142	disease	indomethacin-loaded nanocapsules	27	59	drug	Interestingly, 5 microM of indomethacin-loaded nanocapsules was able to cause an antiproliferative effect without promoting necrosis in glioma cells.	"<div class=""formatted_sentence"">Interestingly, 5 microM of <span class=""object_text"">indomethacin-loaded nanocapsules</span> was able to cause an antiproliferative effect without promoting necrosis in <span class=""subject_text"">glioma</span> cells.</div>"	"&quot;<span class=""form_subject"">glioma</span>&quot;"	"&quot;<span class=""form_object"">indomethacin-loaded nanocapsules</span>&quot;"
false	18452197	2	colitis-associated neoplasia	138	166	disease	azoxymethane	82	94	drug	The chemopreventive activity of 5-ASA was evaluated in the Swiss Webster model of azoxymethane (AOM)/dextran sulfate sodium (DSS)-induced colitis-associated neoplasia.	"<div class=""formatted_sentence"">The chemopreventive activity of 5-ASA was evaluated in the Swiss Webster model of <span class=""object_text"">azoxymethane</span> (AOM)/dextran sulfate sodium (DSS)-induced <span class=""subject_text"">colitis-associated neoplasia</span>.</div>"	"&quot;<span class=""form_subject"">colitis-associated neoplasia</span>&quot;"	"&quot;<span class=""form_object"">azoxymethane</span>&quot;"
positive	18220495	4	refractory schizophrenia	150	174	disease	clozapine	59	68	drug	Despite a higher incidence of adverse effects in children, clozapine appears to be a uniquely beneficial second-line agent for treating children with refractory schizophrenia.	"<div class=""formatted_sentence"">Despite a higher incidence of adverse effects in children, <span class=""object_text"">clozapine</span> appears to be a uniquely beneficial second-line agent for treating children with <span class=""subject_text"">refractory schizophrenia</span>.</div>"	"&quot;<span class=""form_subject"">refractory schizophrenia</span>&quot;"	"&quot;<span class=""form_object"">clozapine</span>&quot;"
positive	18713852	7	invasive fungal infections	69	95	disease	Posaconazole	0	12	drug	Posaconazole, in doses of 200 mg 3 times daily, reduced breakthrough invasive fungal infections (OR 0.30; 95% CI 0.12 to 0.71) and aspergillosis incidence (OR 0.31; 95% CI 0.13 to 0.75) in patients receiving hematopoietic stem-cell transplants compared with those receiving fluconazole.	"<div class=""formatted_sentence""><span class=""object_text"">Posaconazole</span>, in doses of 200 mg 3 times daily, reduced breakthrough <span class=""subject_text"">invasive fungal infections</span> (OR 0.30; 95% CI 0.12 to 0.71) and aspergillosis incidence (OR 0.31; 95% CI 0.13 to 0.75) in patients receiving hematopoietic stem-cell transplants compared with those receiving fluconazole.</div>"	"&quot;<span class=""form_subject"">invasive fungal infections</span>&quot;"	"&quot;<span class=""form_object"">Posaconazole</span>&quot;"
positive	18371953	0	glioma	96	102	disease	indomethacin	26	38	drug	Selective cytotoxicity of indomethacin and indomethacin ethyl ester-loaded nanocapsules against glioma cell lines: an in vitro study.	"<div class=""formatted_sentence"">Selective cytotoxicity of <span class=""object_text"">indomethacin</span> and indomethacin ethyl ester-loaded nanocapsules against <span class=""subject_text"">glioma</span> cell lines: an in vitro study.</div>"	"&quot;<span class=""form_subject"">glioma</span>&quot;"	"&quot;<span class=""form_object"">indomethacin</span>&quot;"
positive	18371953	9	glioma	22	28	disease	indomethacin ethyl ester-loaded nanocapsules	100	144	drug	In addition, when the glioma cells were exposed to 25 microM of indomethacin-loaded nanocapsules or indomethacin ethyl ester-loaded nanocapsules, a necrotic cell death was observed.	"<div class=""formatted_sentence"">In addition, when the <span class=""subject_text"">glioma</span> cells were exposed to 25 microM of indomethacin-loaded nanocapsules or <span class=""object_text"">indomethacin ethyl ester-loaded nanocapsules</span>, a necrotic cell death was observed.</div>"	"&quot;<span class=""form_subject"">glioma</span>&quot;"	"&quot;<span class=""form_object"">indomethacin ethyl ester-loaded nanocapsules</span>&quot;"
positive	17562245	1	high-grade non-Hodgkin lymphoma	179	210	disease	prednisone	87	97	drug	Administration of full-dose R-CHOP (rituximab/cyclophosphamide/doxorubicin/vincristine/prednisone) chemotherapy is important to maximize response in patients with intermediate-or high-grade non-Hodgkin lymphoma but might be difficult in older patients.	"<div class=""formatted_sentence"">Administration of full-dose R-CHOP (rituximab/cyclophosphamide/doxorubicin/vincristine/<span class=""object_text"">prednisone</span>) chemotherapy is important to maximize response in patients with intermediate-or <span class=""subject_text"">high-grade non-Hodgkin lymphoma</span> but might be difficult in older patients.</div>"	"&quot;<span class=""form_subject"">high-grade non-Hodgkin lymphoma</span>&quot;"	"&quot;<span class=""form_object"">prednisone</span>&quot;"
false	19135998	1	chronic hepatitis C genotype 4	88	118	disease	peginterferon	132	145	drug	Sustained virologic response (SVR) rates of 50%-60% have been achieved in patients with chronic hepatitis C genotype 4 treated with peginterferon plus ribavirin.	"<div class=""formatted_sentence"">Sustained virologic response (SVR) rates of 50%-60% have been achieved in patients with <span class=""subject_text"">chronic hepatitis C genotype 4</span> treated with <span class=""object_text"">peginterferon</span> plus ribavirin.</div>"	"&quot;<span class=""form_subject"">chronic hepatitis C genotype 4</span>&quot;"	"&quot;<span class=""form_object"">peginterferon</span>&quot;"
positive	17391803	0	advanced-stage non-small-cell lung cancer	59	100	disease	docetaxel	45	54	drug	An open multicenter phase II trial of weekly docetaxel for advanced-stage non-small-cell lung cancer in elderly patients with significant comorbidity and/or poor performance status: The GFPC 02-02b study.	"<div class=""formatted_sentence"">An open multicenter phase II trial of weekly <span class=""object_text"">docetaxel</span> for <span class=""subject_text"">advanced-stage non-small-cell lung cancer</span> in elderly patients with significant comorbidity and/or poor performance status: The GFPC 02-02b study.</div>"	"&quot;<span class=""form_subject"">advanced-stage non-small-cell lung cancer</span>&quot;"	"&quot;<span class=""form_object"">docetaxel</span>&quot;"
positive	17940253	3	spasticity	97	107	disease	botulinum toxin type B	113	135	drug	We describe the case of a 10-year-old boy who developed systemic weakness following treatment of spasticity with botulinum toxin type B.	"<div class=""formatted_sentence"">We describe the case of a 10-year-old boy who developed systemic weakness following treatment of <span class=""subject_text"">spasticity</span> with <span class=""object_text"">botulinum toxin type B</span>.</div>"	"&quot;<span class=""form_subject"">spasticity</span>&quot;"	"&quot;<span class=""form_object"">botulinum toxin type B</span>&quot;"
